Serial Number:20719195 --

"Date Time, GMT -0700","Temp, (*C)","mV","pH","Button Down","Button Up","EOF"
2020-10-29 08:46:30,21.11,-89.55,8.20, , , 
2020-10-29 08:46:31,21.11,-89.85,8.21, , , 
2020-10-29 08:46:32,21.11,-89.99,8.21, , , 
2020-10-29 08:46:33,21.11,-90.08,8.21, , , 
2020-10-29 08:46:34,21.11,-90.14,8.21, , , 
2020-10-29 08:46:35,21.11,-90.19,8.21, , , 
2020-10-29 08:46:36,21.11,-90.24,8.22, , , 
2020-10-29 08:46:37,21.11,-90.27,8.22, , , 
2020-10-29 08:46:38,21.11,-91.46,8.24, , , 
2020-10-29 08:46:39,21.11,-90.61,8.22, , , 
2020-10-29 08:46:40,21.11,-90.44,8.22, , , 
2020-10-29 08:46:41,21.09,-90.41,8.22, , , 
2020-10-29 08:46:42,21.09,-90.41,8.22, , , 
2020-10-29 08:46:43,21.09,-90.42,8.22, , , 
2020-10-29 08:46:44,21.09,-90.44,8.22, , , 
2020-10-29 08:46:45,21.09,-90.44,8.22, , , 
2020-10-29 08:46:46,21.09,-90.46,8.22, , , 
2020-10-29 08:46:47,21.09,-90.47,8.22, , , 
2020-10-29 08:46:48,21.09,-90.49,8.22, , , 
2020-10-29 08:46:49,21.09,-91.10,8.23, , , 
2020-10-29 08:46:50,21.09,-90.61,8.22, , , 
2020-10-29 08:46:51,21.09,-90.57,8.22, , , 
2020-10-29 08:46:52,21.09,-90.55,8.22, , , 
2020-10-29 08:46:53,21.09,-90.55,8.22, , , 
2020-10-29 08:46:54,21.09,-91.66,8.24, , , 
2020-10-29 08:46:55,21.09,-90.78,8.22, , , 
2020-10-29 08:46:56,21.07,-90.64,8.22, , , 
2020-10-29 08:46:57,21.07,-90.61,8.22, , , 
2020-10-29 08:46:58,21.07,-90.61,8.22, , , 
2020-10-29 08:46:59,21.07,-90.60,8.22, , , 
2020-10-29 08:47:00,21.07,-90.92,8.23, , , 
2020-10-29 08:47:01,21.07,-90.69,8.22, , , 
2020-10-29 08:47:02,21.07,-90.66,8.22, , , 
2020-10-29 08:47:03,21.07,-90.64,8.22, , , 
2020-10-29 08:47:04,21.07,-90.69,8.22, , , 
2020-10-29 08:47:05,21.07,-91.75,8.24, , , 
2020-10-29 08:47:06,21.07,-90.80,8.23, , , 
2020-10-29 08:47:07,21.07,-90.72,8.22, , , 
2020-10-29 08:47:08,21.07,-90.69,8.22, , , 
2020-10-29 08:47:09,21.07,-90.69,8.22, , , 
2020-10-29 08:47:10,21.07,-90.67,8.22, , , 
2020-10-29 08:47:11,21.04,-90.67,8.22, , , 
2020-10-29 08:47:12,21.04,-90.69,8.22, , , 
2020-10-29 08:47:13,21.04,-90.69,8.22, , , 
2020-10-29 08:47:14,21.04,-90.69,8.22, , , 
2020-10-29 08:47:15,21.04,-90.69,8.22, , , 
2020-10-29 08:47:16,21.04,-90.69,8.22, , , 
2020-10-29 08:47:17,21.04,-90.69,8.22, , , 
2020-10-29 08:47:18,21.04,-90.71,8.22, , , 
2020-10-29 08:47:19,21.04,-90.71,8.22, , , 
2020-10-29 08:47:20,21.04,-91.97,8.25, , , 
2020-10-29 08:47:21,21.04,-90.74,8.22, , , 
2020-10-29 08:47:22,21.04,-90.74,8.22, , , 
2020-10-29 08:47:23,21.04,-90.75,8.22, , , 
