Serial Number:20719196 --

"Date Time, GMT -0700","Temp, (*C)","mV","pH","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-10-28 15:53:38,21.81,32.03,6.08, , , , , 
2020-10-28 15:53:39,21.81,31.28,6.09, , , , , 
2020-10-28 15:53:40,21.81,30.97,6.10, , , , , 
2020-10-28 15:53:41,21.81,30.81,6.10, , , , , 
2020-10-28 15:53:42,21.81,30.72,6.10, , , , , 
2020-10-28 15:53:43,21.81,28.74,6.14, , , , , 
2020-10-28 15:53:44,21.81,30.39,6.11, , , , , 
2020-10-28 15:53:45,21.81,30.50,6.11, , , , , 
2020-10-28 15:53:46,21.81,30.66,6.10, , , , , 
2020-10-28 15:53:47,21.81,29.53,6.12, , , , , 
2020-10-28 15:53:48,21.81,30.53,6.11, , , , , 
2020-10-28 15:53:49,21.81,30.50,6.11, , , , , 
2020-10-28 15:53:50,21.81,30.41,6.11, , , , , 
2020-10-28 15:53:51,21.81,30.50,6.11, , , , , 
2020-10-28 15:53:52,21.81,30.52,6.11, , , , , 
2020-10-28 15:53:53,21.81,30.50,6.11, , , , , 
2020-10-28 15:53:54,21.81,30.50,6.11, , , , , 
2020-10-28 15:53:55,21.81,30.52,6.11, , , , , 
2020-10-28 15:53:56,21.81,30.52,6.11, , , , , 
2020-10-28 15:53:57,21.81,30.52,6.11, , , , , 
2020-10-28 15:53:58,21.81,30.52,6.11, , , , , 
2020-10-28 15:53:59,21.81,30.52,6.11, , , , , 
2020-10-28 15:54:00,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:01,21.81,30.52,6.11, , , , , 
2020-10-28 15:54:02,21.81,30.52,6.11, , , , , 
2020-10-28 15:54:03,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:04,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:05,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:06,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:07,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:08,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:09,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:10,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:11,21.81,30.53,6.11, , , , , 
2020-10-28 15:54:12,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:13,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:14,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:15,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:16,21.81,30.55,6.11, , , , , 
2020-10-28 15:54:17,21.81,30.56,6.11, , , , , 
2020-10-28 15:54:18,21.81,30.56,6.11, , , , , 
2020-10-28 15:54:19,21.81,30.56,6.11, , , , , 
2020-10-28 15:54:20,21.81,30.56,6.11, , , , , 
2020-10-28 15:54:21,21.81,30.56,6.11, , , , , 
2020-10-28 15:54:22,21.81,30.58,6.11, , , , , 
2020-10-28 15:54:23,21.81,30.58,6.11, , , , , 
2020-10-28 15:54:24,21.81,30.58,6.11, , , , , 
2020-10-28 15:54:25,21.81,30.58,6.11, , , , , 
2020-10-28 15:54:26,21.81,30.58,6.11, , , , , 
2020-10-28 15:54:27,21.81,30.59,6.11, , , , , 
2020-10-28 15:54:28,21.81,30.59,6.11, , , , , 
2020-10-28 15:54:29,21.81,30.59,6.11, , , , , 
2020-10-28 15:54:30,21.81,30.61,6.10, , , , , 
2020-10-28 15:54:31,21.81,30.61,6.10, , , , , 
2020-10-28 15:54:32,21.81,30.61,6.10, , , , , 
2020-10-28 15:54:33,21.81,30.61,6.10, , , , , 
2020-10-28 15:54:34,21.81,30.63,6.10, , , , , 
2020-10-28 15:54:35,21.81,30.63,6.10, , , , , 
2020-10-28 15:54:36,21.81,30.63,6.10, , , , , 
2020-10-28 15:54:37,21.81,30.64,6.10, , , , , 
2020-10-28 15:54:38,21.81,30.63,6.10, , , , , 
2020-10-28 15:54:39,21.81,30.64,6.10, , , , , 
2020-10-28 15:54:40,21.81,30.64,6.10, , , , , 
2020-10-28 15:54:41,21.81,30.64,6.10, , , , , 
2020-10-28 15:54:42,21.81,30.66,6.10, , , , , 
2020-10-28 15:54:43,21.81,30.66,6.10, , , , , 
2020-10-28 15:54:44,21.81,30.66,6.10, , , , , 
2020-10-28 15:54:45,21.81,30.66,6.10, , , , , 
2020-10-28 15:54:46,21.81,30.66,6.10, , , , , 
